00:03:29.795 [lettuce-eventExecutorLoop-1-2] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
00:04:09.986 [lettuce-eventExecutorLoop-1-5] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
02:05:19.973 [lettuce-eventExecutorLoop-1-6] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
02:06:00.015 [lettuce-eventExecutorLoop-1-9] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
02:52:45.674 [lettuce-eventExecutorLoop-1-10] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
04:53:24.066 [lettuce-eventExecutorLoop-1-12] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
05:09:44.053 [lettuce-eventExecutorLoop-1-1] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
05:10:24.237 [lettuce-eventExecutorLoop-1-4] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
08:51:56.946 [lettuce-eventExecutorLoop-1-6] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:02:02.139 [lettuce-eventExecutorLoop-1-8] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:02:42.238 [lettuce-eventExecutorLoop-1-10] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:03:22.339 [lettuce-eventExecutorLoop-1-12] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:04:02.443 [lettuce-eventExecutorLoop-1-2] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:04:42.541 [lettuce-eventExecutorLoop-1-3] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:05:22.643 [lettuce-eventExecutorLoop-1-5] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:06:02.742 [lettuce-eventExecutorLoop-1-7] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:06:42.842 [lettuce-eventExecutorLoop-1-8] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:07:22.943 [lettuce-eventExecutorLoop-1-10] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:08:03.041 [lettuce-eventExecutorLoop-1-12] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:08:43.140 [lettuce-eventExecutorLoop-1-1] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:09:23.244 [lettuce-eventExecutorLoop-1-3] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:10:03.342 [lettuce-eventExecutorLoop-1-5] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:10:43.445 [lettuce-eventExecutorLoop-1-6] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:11:23.544 [lettuce-eventExecutorLoop-1-8] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:12:03.641 [lettuce-eventExecutorLoop-1-10] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:12:43.743 [lettuce-eventExecutorLoop-1-11] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:13:23.845 [lettuce-eventExecutorLoop-1-1] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:14:03.945 [lettuce-eventExecutorLoop-1-3] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:14:44.048 [lettuce-eventExecutorLoop-1-4] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:15:24.148 [lettuce-eventExecutorLoop-1-6] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:16:04.249 [lettuce-eventExecutorLoop-1-8] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:16:44.348 [lettuce-eventExecutorLoop-1-9] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:17:24.448 [lettuce-eventExecutorLoop-1-11] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:18:04.543 [lettuce-eventExecutorLoop-1-1] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:18:44.647 [lettuce-eventExecutorLoop-1-2] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:19:24.748 [lettuce-eventExecutorLoop-1-4] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
13:20:04.848 [lettuce-eventExecutorLoop-1-6] [] INFO  i.l.core.protocol.ConnectionWatchdog.log - Reconnecting, last destination was 10.0.0.203:6379
